file,one_qubit_gates,two_qubit_gates
4392467_24_16_0_125_lightning_qubit.qasm,1704,1056
4392467_24_16_0_25_lightning_qubit.qasm,2264,2176
4392467_24_16_0_375_lightning_qubit.qasm,2840,3328
4392467_24_16_0_5_lightning_qubit.qasm,3448,4544
4392467_24_4_0_125_lightning_qubit.qasm,424,224
4392467_24_4_0_25_lightning_qubit.qasm,620,616
4392467_24_4_0_375_lightning_qubit.qasm,696,768
4392467_24_4_0_5_lightning_qubit.qasm,912,1200
4392467_24_64_0_125_lightning_qubit.qasm,7064,4864
4392467_24_64_0_25_lightning_qubit.qasm,9176,9088
4392467_24_64_0_375_lightning_qubit.qasm,11096,12928
4392467_24_64_0_5_lightning_qubit.qasm,14104,18944
4392468_10_1_0_125_lightning_qubit.qasm,46,12
4392468_10_1_0_25_lightning_qubit.qasm,52,24
4392468_10_1_0_375_lightning_qubit.qasm,55,30
4392468_10_1_0_5_lightning_qubit.qasm,62,44
4392468_10_16_0_125_lightning_qubit.qasm,586,192
4392468_10_16_0_25_lightning_qubit.qasm,714,448
4392468_10_16_0_375_lightning_qubit.qasm,714,448
4392468_10_16_0_5_lightning_qubit.qasm,826,672
4392468_10_4_0_125_lightning_qubit.qasm,158,56
4392468_10_4_0_25_lightning_qubit.qasm,162,64
4392468_10_4_0_375_lightning_qubit.qasm,202,144
4392468_10_4_0_5_lightning_qubit.qasm,238,216
4392468_10_64_0_125_lightning_qubit.qasm,2378,896
4392468_10_64_0_25_lightning_qubit.qasm,2890,1920
4392468_10_64_0_375_lightning_qubit.qasm,3082,2304
4392468_10_64_0_5_lightning_qubit.qasm,2890,1920
4392468_16_1_0_125_lightning_qubit.qasm,81,34
4392468_16_1_0_25_lightning_qubit.qasm,87,46
4392468_16_1_0_375_lightning_qubit.qasm,115,102
4392468_16_1_0_5_lightning_qubit.qasm,132,136
4392468_16_16_0_125_lightning_qubit.qasm,960,352
4392468_16_16_0_25_lightning_qubit.qasm,1264,960
4392468_16_16_0_375_lightning_qubit.qasm,1392,1216
4392468_16_16_0_5_lightning_qubit.qasm,1632,1696
4392468_16_4_0_125_lightning_qubit.qasm,252,88
4392468_16_4_0_25_lightning_qubit.qasm,332,248
4392468_16_4_0_375_lightning_qubit.qasm,344,272
4392468_16_4_0_5_lightning_qubit.qasm,468,520
4392468_16_64_0_125_lightning_qubit.qasm,4176,2176
4392468_16_64_0_25_lightning_qubit.qasm,5072,3968
4392468_16_64_0_375_lightning_qubit.qasm,5584,4992
4392468_16_64_0_5_lightning_qubit.qasm,6480,6784
4392468_20_1_0_125_lightning_qubit.qasm,104,48
4392468_20_1_0_25_lightning_qubit.qasm,130,100
4392468_20_1_0_375_lightning_qubit.qasm,154,148
4392468_20_1_0_5_lightning_qubit.qasm,176,192
4392468_20_16_0_125_lightning_qubit.qasm,1332,704
4392468_20_16_0_25_lightning_qubit.qasm,1796,1632
4392468_20_16_0_375_lightning_qubit.qasm,2212,2464
4392468_20_16_0_5_lightning_qubit.qasm,2388,2816
4392468_20_4_0_125_lightning_qubit.qasm,320,120
4392468_20_4_0_25_lightning_qubit.qasm,452,384
4392468_20_4_0_375_lightning_qubit.qasm,580,640
4392468_20_4_0_5_lightning_qubit.qasm,668,816
4392468_20_64_0_125_lightning_qubit.qasm,5524,3328
4392468_20_64_0_25_lightning_qubit.qasm,7124,6528
4392468_20_64_0_375_lightning_qubit.qasm,9044,10368
4392468_20_64_0_5_lightning_qubit.qasm,9684,11648
4392468_24_1_0_125_lightning_qubit.qasm,137,82
4392468_24_1_0_25_lightning_qubit.qasm,173,154
4392468_24_1_0_375_lightning_qubit.qasm,199,206
4392468_24_1_0_5_lightning_qubit.qasm,209,226
4392468_24_16_0_125_lightning_qubit.qasm,1704,1056
4392468_24_16_0_25_lightning_qubit.qasm,2264,2176
4392468_24_16_0_375_lightning_qubit.qasm,2840,3328
4392468_24_16_0_5_lightning_qubit.qasm,3448,4544
4392468_24_4_0_125_lightning_qubit.qasm,424,224
4392468_24_4_0_25_lightning_qubit.qasm,620,616
4392468_24_4_0_375_lightning_qubit.qasm,696,768
4392468_24_4_0_5_lightning_qubit.qasm,912,1200
4392468_24_64_0_125_lightning_qubit.qasm,7064,4864
4392468_24_64_0_25_lightning_qubit.qasm,9176,9088
4392468_24_64_0_375_lightning_qubit.qasm,11096,12928
4392468_24_64_0_5_lightning_qubit.qasm,14104,18944
4392469_10_1_0_125_lightning_qubit.qasm,46,12
4392469_10_1_0_25_lightning_qubit.qasm,52,24
4392469_10_1_0_375_lightning_qubit.qasm,55,30
4392469_10_1_0_5_lightning_qubit.qasm,62,44
4392469_10_16_0_125_lightning_qubit.qasm,586,192
4392469_10_16_0_25_lightning_qubit.qasm,714,448
4392469_10_16_0_375_lightning_qubit.qasm,714,448
4392469_10_16_0_5_lightning_qubit.qasm,826,672
4392469_10_4_0_125_lightning_qubit.qasm,158,56
4392469_10_4_0_25_lightning_qubit.qasm,162,64
4392469_10_4_0_375_lightning_qubit.qasm,202,144
4392469_10_4_0_5_lightning_qubit.qasm,238,216
4392469_10_64_0_125_lightning_qubit.qasm,2378,896
4392469_10_64_0_25_lightning_qubit.qasm,2890,1920
4392469_10_64_0_375_lightning_qubit.qasm,3082,2304
4392469_10_64_0_5_lightning_qubit.qasm,2890,1920
4392469_16_1_0_125_lightning_qubit.qasm,81,34
4392469_16_1_0_25_lightning_qubit.qasm,87,46
4392469_16_1_0_375_lightning_qubit.qasm,115,102
4392469_16_1_0_5_lightning_qubit.qasm,132,136
4392469_16_16_0_125_lightning_qubit.qasm,960,352
4392469_16_16_0_25_lightning_qubit.qasm,1264,960
4392469_16_16_0_375_lightning_qubit.qasm,1392,1216
4392469_16_16_0_5_lightning_qubit.qasm,1632,1696
4392469_16_4_0_125_lightning_qubit.qasm,252,88
4392469_16_4_0_25_lightning_qubit.qasm,332,248
4392469_16_4_0_375_lightning_qubit.qasm,344,272
4392469_16_4_0_5_lightning_qubit.qasm,468,520
4392469_16_64_0_125_lightning_qubit.qasm,4176,2176
4392469_16_64_0_25_lightning_qubit.qasm,5072,3968
4392469_16_64_0_375_lightning_qubit.qasm,5584,4992
4392469_16_64_0_5_lightning_qubit.qasm,6480,6784
4392469_20_1_0_125_lightning_qubit.qasm,104,48
4392469_20_1_0_25_lightning_qubit.qasm,130,100
4392469_20_1_0_375_lightning_qubit.qasm,154,148
4392469_20_1_0_5_lightning_qubit.qasm,176,192
4392469_20_16_0_125_lightning_qubit.qasm,1332,704
4392469_20_16_0_25_lightning_qubit.qasm,1796,1632
4392469_20_16_0_375_lightning_qubit.qasm,2212,2464
4392469_20_16_0_5_lightning_qubit.qasm,2388,2816
4392469_20_4_0_125_lightning_qubit.qasm,320,120
4392469_20_4_0_25_lightning_qubit.qasm,452,384
4392469_20_4_0_375_lightning_qubit.qasm,580,640
4392469_20_4_0_5_lightning_qubit.qasm,668,816
4392469_20_64_0_125_lightning_qubit.qasm,5524,3328
4392469_20_64_0_25_lightning_qubit.qasm,7124,6528
4392469_20_64_0_375_lightning_qubit.qasm,9044,10368
4392469_20_64_0_5_lightning_qubit.qasm,9684,11648
4392469_24_1_0_125_lightning_qubit.qasm,137,82
4392469_24_1_0_25_lightning_qubit.qasm,173,154
4392469_24_1_0_375_lightning_qubit.qasm,199,206
4392469_24_1_0_5_lightning_qubit.qasm,209,226
4392469_24_16_0_125_lightning_qubit.qasm,1704,1056
4392469_24_16_0_25_lightning_qubit.qasm,2264,2176
4392469_24_16_0_375_lightning_qubit.qasm,2840,3328
4392469_24_16_0_5_lightning_qubit.qasm,3448,4544
4392469_24_4_0_125_lightning_qubit.qasm,424,224
4392469_24_4_0_25_lightning_qubit.qasm,620,616
4392469_24_4_0_375_lightning_qubit.qasm,696,768
4392469_24_4_0_5_lightning_qubit.qasm,912,1200
4392469_24_64_0_125_lightning_qubit.qasm,7064,4864
4392469_24_64_0_25_lightning_qubit.qasm,9176,9088
4392469_24_64_0_375_lightning_qubit.qasm,11096,12928
4392469_24_64_0_5_lightning_qubit.qasm,14104,18944
4392470_10_1_0_125_lightning_qubit.qasm,46,12
4392470_10_1_0_25_lightning_qubit.qasm,52,24
4392470_10_1_0_375_lightning_qubit.qasm,55,30
4392470_10_1_0_5_lightning_qubit.qasm,62,44
4392470_10_16_0_125_lightning_qubit.qasm,586,192
4392470_10_16_0_25_lightning_qubit.qasm,714,448
4392470_10_16_0_375_lightning_qubit.qasm,714,448
4392470_10_16_0_5_lightning_qubit.qasm,826,672
4392470_10_4_0_125_lightning_qubit.qasm,158,56
4392470_10_4_0_25_lightning_qubit.qasm,162,64
